id,classes,se,code,name,pinyin,price,change,net,volume,value,mark,operation,hold,cost,profit,roi,roe,pe,rate,pb,dividend,dividend_yield,delta,total_share,time_to_market,created,modified
561,A,sh,600763,通策医疗,tcyl,217.0,0.49,0.226,0,0,0,0,0,0,0,1.77,28.63,0.63,0.98,35.84,0.0,0.0,0,320640000.0,1996-10-31,2020-08-29 19:11,2020-08-29 19:11
935,A,sh,603019,中科曙光,zksg,45.45,0.83,1.86,0,0,0,0,0,0,0,1.77,12.41,1.14,1.25,9.79,1.4,0.31,0,1302050903.0,2014-11-28,2020-08-29 19:11,2020-08-29 19:11
1948,A,sz,000899,赣能股份,gngf,4.66,0.02,0.431,0,0,0,0,0,0,0,1.76,4.63,4.81,0.79,0.94,1.0,2.15,0,975677760.0,1997-11-28,2020-08-29 19:11,2020-08-29 19:11
2066,A,sz,002049,紫光国微,zggw,127.69,1.32,1.045,0,0,0,0,0,0,0,1.76,15.38,0.79,1.45,17.04,0.68,0.05,0,606817968.0,2005-06-30,2020-08-29 19:11,2020-08-29 19:11
2432,A,sz,002461,珠江啤酒,zjpj,11.5,0.45,4.072,0,0,0,0,0,0,0,1.76,6.61,2.13,1.25,2.96,1.0,0.87,0,2213328480.0,2010-08-31,2020-08-29 19:11,2020-08-29 19:11
3061,A,sz,300154,瑞凌股份,rlgf,6.47,-0.15,-2.266,0,0,0,0,0,0,0,1.76,6.01,3.26,0.9,1.81,2.0,3.09,0,455608000.0,2010-12-31,2020-08-29 19:11,2020-08-29 19:11
3305,A,sz,300402,宝色股份,bsgf,12.9,1.36,11.785,0,0,0,0,0,0,0,1.76,6.58,1.58,1.69,3.95,0.31,0.24,0,202000000.0,2014-10-31,2020-08-29 19:11,2020-08-29 19:11
2976,A,sz,300067,安诺其,anq,4.78,-0.12,-2.449,0,0,0,0,0,0,0,1.75,7.53,2.77,0.84,2.63,0.8,1.67,0,930499272.0,2010-04-30,2020-08-29 19:11,2020-08-29 19:11
189,A,sh,600260,凯乐科技,klkj,13.54,0.14,1.045,0,0,0,0,0,0,0,1.74,6.62,4.24,0.62,2.06,0.0,0.0,0,1000715029.0,2000-07-31,2020-08-29 19:11,2020-08-29 19:11
2225,A,sz,002230,科大讯飞,kdxf,37.52,0.27,0.725,0,0,0,0,0,0,0,1.73,10.87,1.19,1.34,7.04,1.0,0.27,0,2197872917.0,2008-05-30,2020-08-29 19:11,2020-08-29 19:11
2949,A,sz,300039,上海凯宝,shkb,6.17,-0.12,-1.908,0,0,0,0,0,0,0,1.73,7.18,2.71,0.89,2.54,1.0,1.62,0,1046000000.0,2010-01-29,2020-08-29 19:11,2020-08-29 19:11
3165,A,sz,300260,新莱应材,xlyc,19.47,0.45,2.366,0,0,0,0,0,0,0,1.72,8.1,1.52,1.4,4.43,1.0,0.51,0,219794320.0,2011-09-30,2020-08-29 19:11,2020-08-29 19:11
202,A,sh,600279,重庆港九,cqgj,3.92,0.04,1.031,0,0,0,0,0,0,0,1.71,3.3,4.38,1.18,0.85,0.5,1.28,0,1186866283.0,2000-07-31,2020-08-29 19:11,2020-08-29 19:11
262,A,sh,600361,华联综超,hlzc,4.66,-0.01,-0.214,0,0,0,0,0,0,0,1.71,4.1,3.6,1.16,1.11,0.7,1.5,0,665807918.0,2001-11-30,2020-08-29 19:11,2020-08-29 19:11
371,A,sh,600523,贵航股份,ghgf,19.89,0.73,3.81,0,0,0,0,0,0,0,1.71,6.5,1.85,1.42,3.18,1.67,0.84,0,404311320.0,2001-12-31,2020-08-29 19:11,2020-08-29 19:11
1876,A,sz,000777,中核科技,zhkj,14.27,0.06,0.422,0,0,0,0,0,0,0,1.71,8.37,2.11,0.97,3.68,1.07,0.75,0,383417593.0,1997-07-31,2020-08-29 19:11,2020-08-29 19:11
